ASIN,Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Bullet 6,Bullet 7,Bullet 8,Bullet 9,Product Description Full
B00062YISM,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 2002 CHRYSLER Prowler; 1995-2001 CHRYSLER Voyager II; 1997-2001 PLYMOUTH Prowler; 1996-2000 CHRYSLER Town & Country Van; 1996-2000 DODGE Caravan; 1996-2000 DODGE Grand Caravan; 1996-2000 PLYMOUTH Grand Voyager; 1996-2000 PLYMOUTH Voyager Van; 1994-1999 CHRYSLER Neon; 1996-1999 CHRYSLER Voyager; 1995-1999 DODGE Neon; 1995-1999 PLYMOUTH Neon; 1996 PLYMOUTH Voyager; 1990-1993 CHRYSLER Daytona; 1990 CHRYSLER Dynasty; 1986-1990 FORD Escort; 1989 FORD Escort GT"
B00062Z0V6,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 2008-2010 ZHONGHUA Junjie FRV; 2009 ZHONGHUA Junjie FSV; 1994-2002 LAND ROVER Range Rover II; 1999 LAND ROVER Discovery SD; 1994-1998 LAND ROVER Discovery; 1994-1998 LAND ROVER Discovery II; 1995 LAND ROVER Range Rover; 1993-1994 LAND ROVER Discovery I; 1994 LAND ROVER Range Rover I"
B000E5S36O,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 1990-2012 SUBARU Sambar; 1991-2005 KIA Pride; 1996-2003 MAZDA Demio; 1996-2002 MAZDA 121 Metro; 1997-2000 FORD Festiva"
B00062YISC,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 1989-1996 BMW 520i; 1989-1996 BMW 525i; 1991-1996 BMW 525iX; 1993-1995 BMW 525iT; 1988-1995 BMW M5"
B00062YJ5E,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 2004-2007 CADILLAC CTS-V; 1995-2004 VOLKSWAGEN Caddy II; 1995-2002 VOLKSWAGEN Polo; 1995-2001 SEAT Inca; 1998-2001 SKODA Felicia II; 1993-1999 SEAT Cordoba; 1997-1999 SEAT Ibiza; 1993-1999 SEAT Ibiza II; 1991-1999 SEAT Toledo I; 1995-1998 SKODA Felicia I; 1997 SKODA Felicia"
B00062YIGO,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 1989-1997 FORD Thunderbird; 1989-1997 MERCURY Cougar"
B000630DLM,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 2003-2005 SATURN Ion"
B000E5U45W,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 1988-1993 OPEL Corsa A; 1988-1993 VAUXHALL Nova"
B00062ZL9C,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 1999-2004 HONDA Odyssey"
B00OSWUBBE,ULTIMATE LONGEVITY: 10-Year/Million Mile Limited Warranty protects for the life of your vehicle.,ENGINEERED POWER: State-of-the-art filtration media provides up to 50% more airflow than disposable paper filters to increase power and acceleration. Clogged or dirty air filters can reduce your vehicle’s acceleration by up to 10%.,EASY INSTALLATION: Pre-oiled and ready to drop into your factory air box. One of the easiest and most cost-effective upgrades for your vehicle for quick performance gains.,SAVES MONEY: K&N high-flow replacement air filters will save you $250 over 10 years by avoiding disposable filters.,"ECO-FRIENDLY: Using a washable, reusable product helps reduce replacement waste. A K&N filter will last longer than 10 disposable filters.",WORLD CLASS PROTECTION: Pushing the limits of engine protection by protecting your engine from harmful contaminants.,"LOW-MAINTENANCE DESIGN: 50,000 miles before your first cleaning under normal highway driving conditions.",HIGH QUALITY: Made in America.,RACE TESTED: The Official Air Filter of NASCAR. Trusted on the racetrack—made for your vehicle.,"K&N performance High-Flow Air Filters are engineered to improve engine performance by increasing airflow up to 50%. Unlike disposable paper filters which must be frequently replaced, K&N Air Filters are washable, reusable, and engineered to last for the life of your vehicle. K&N air filters are backed by our famous 10-Year/Million Mile Limited Warranty, and they provide an environment friendly way to reduce landfill waste by avoiding disposable filters. Engineered to fit easily into your factory air box, installation can be completed in a matter of minutes! K&N develops and tests each product on the world’s toughest race tracks, so we can bring the highest level of performance to your daily driving. Join the millions of customers who have saved money and improved vehicle performance by upgrading to K&N filtration. Vehicle Fitment: 2014-2019 JAGUAR F-Type"
