OEM,Category,Sub Category,Year,No.Of Models,Model Name,URL,Status,Column1,Team,
https://www.gmc.com/commercial-vehicles,TRUCKS,Trucks,2019,1,CANYON SLE/SLT EXTENDED CAB,https://www.gmc.com/trucks/previous-year/canyon/sle-slt,not found,done,kanishka,
,,,,1,CANYON SLE/SLT CREW CAB,https://www.gmc.com/trucks/previous-year/canyon/sle-slt,not found,done,kanishka,
,,,,1,CANYON ALL TERRAIN EXTENDED CAB,https://www.gmc.com/trucks/previous-year/canyon/all-terrain,not found,done,kanishka,
,,,,1,CANYON ALL TERRAIN CREW CAB,https://www.gmc.com/trucks/previous-year/canyon/all-terrain,not found,done,kanishka,
,,,,1,CANYON DENALI,https://www.gmc.com/trucks/previous-year/canyon/denali,not found,done,kanishka,
,,,,1,SIERRA 1500 LIMITED,https://www.gmc.com/trucks/sierra-1500-limited-pickup-truck,found,,,
,,SUVS,,1,"SIERRA SLE, ELEVATION & SLT CREW CAB",https://www.gmc.com/trucks/previous-year/sierra/1500/sle-elevation-slt,not found,done,kanishka,
,,,,1,"SIERRA SLE, ELEVATION & SLT DOUBLE CAB",https://www.gmc.com/trucks/previous-year/sierra/1500/sle-elevation-slt,not found,,kanishka,
,,,,1,"SIERRA SLE, ELEVATION & SLT REGULAR CAB",https://www.gmc.com/trucks/previous-year/sierra/1500/sle-elevation-slt,not found,,kanishka,
,,,,1,SIERRA AT4 CREW CAB,https://www.gmc.com/trucks/previous-year/sierra/1500/at4,not found,,kanishka,
,,,,1,SIERRA AT5 DOUBLE CAB,https://www.gmc.com/trucks/previous-year/sierra/1500/at4,not found,,kanishka,
,,,,1,SIERRA DENALI,https://www.gmc.com/trucks/previous-year/sierra/1500/denali,not found,,Ankit,
,,Denali Line,,1,SIERRA 2500HDSLE/SLT,https://www.gmc.com/trucks/previous-year/sierra/2500hd-3500hd/sle-slt,found,,,
,,,,1,SIERRA3500HD SLE/SLT,https://www.gmc.com/trucks/previous-year/sierra/2500hd-3500hd/sle-slt,found,,,
,,,,1,2500 Denali HD,https://www.gmc.com/trucks/previous-year/sierra/2500hd-3500hd/denali,not found,,Ankit,
,,,,1,3500 DENALI HD,https://www.gmc.com/trucks/previous-year/sierra/2500hd-3500hd/denali,not found,,Ankit,
,,,,,,,,,,
,,,2020,,,,,,,
,,,,,,,,,,
,,Trucks,,1,CANYON SLE/SLT EXTENDED CAB,https://www.gmc.com/trucks/canyon/sle-slt,not found,,Akshay,Canyon Sle/Slt Extended Cab
,,,,1,CANYON SLE/SLT CREW CAB,https://www.gmc.com/trucks/canyon/sle-slt,not found,,Akshay,
,,,,1,CANYON ALL TERRAIN EXTENDED CAB,https://www.gmc.com/trucks/canyon/all-terrain,not found,,Akshay,
,,,,1,CANYON ALL TERRAIN CREW CAB,https://www.gmc.com/trucks/canyon/all-terrain,not found,,Akshay,
,,,,1,CANYON DENALI,https://www.gmc.com/trucks/canyon/denali,not found,,Akshay,
,,SUVS,,1,SIERRA 1500 SLE/ELEVATION/SLT CREW CAB,https://www.gmc.com/trucks/sierra/1500/sle-elevation-slt,not found,,Akshay,
,,,,1,SIERRA 1500 SLE/ELEVATION/SLT DOUBLE CAB,https://www.gmc.com/trucks/sierra/1500/sle-elevation-slt,not found,,Akshay,
,,,,1,SIERRA 1500 SLE/ELEVATION/SLT REGULAR CAB,https://www.gmc.com/trucks/sierra/1500/sle-elevation-slt,not found,,Akshay,
,,,,1,SIERRA AT4 CREW CAB,https://www.gmc.com/trucks/sierra/1500/at4,not found,,Akshay,
,,,,1,SIERRA AT4 DOUBLE CAB,https://www.gmc.com/trucks/sierra/1500/at4,not found,,Akshay,
,,,,1,SIERRA 1500 DENALI,https://www.gmc.com/trucks/sierra/1500/denali,not found,,Ankit,
,,Denali Line,,1,"SIERRA HEAVY DUTY, SLE & SLT 2500",https://www.gmc.com/trucks/sierra/2500hd-3500hd,not found,,Ankit,
,,,,1,"SIERRA HEAVY DUTY, SLE & SLT 3500",https://www.gmc.com/trucks/sierra/2500hd-3500hd,not found,,Ankit,
,,,,1,2500 HD AT4,https://www.gmc.com/trucks/sierra/2500hd-3500hd/at4,not found,,Ankit,
,,,,1,3500 HD AT4,https://www.gmc.com/trucks/sierra/2500hd-3500hd/at4,not found,,Ankit,
